,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
167,Ivy Ridge,4730 21st Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/ivy-ridge-seattle-wa/wcyj04k/,86,81,83,74
168,Brookstone,3231 S 204th St,Seattle,WA,98198,Seatac,https://www.apartments.com/brookstone-seattle-wa/5cbj7vn/,42,56,37,61
169,Belgrove Court,1808 Bellevue Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/belgrove-court-seattle-wa/e1vjg6q/,99,95,77,63
170,Promenade at the Park Apartment Homes,3215 NE 143rd St,Seattle,WA,98125,Lake City,https://www.apartments.com/promenade-at-the-park-apartment-homes-seattle-wa/c67n2xe/,64,50,78,71
171,Centerline,1420 NE 65th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/centerline-seattle-wa/63dfd1v/,96,69,74,68
172,Summit Flats at The Hill Collective,1103 Summit Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/summit-flats-at-the-hill-collective-seattle-wa/wxcn41k/,99,96,92,66
173,8th + Republican,430 Eighth Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/8th-republican-seattle-wa/8mbpsq2/,96,86,87,66
174,Dimension,225 Cedar St,Seattle,WA,98121,Belltown,https://www.apartments.com/dimension-seattle-wa/01kp2y3/,99,96,83,66
175,Mosaic on Greenwood,13543 Greenwood Ave N,Seattle,WA,98133,Broadview,https://www.apartments.com/mosaic-on-greenwood-seattle-wa/yhm70ds/,65,48,63,73
176,Willows Court Apartment Homes,12316 28th Ave NE,Seattle,WA,98125,Lake City,https://www.apartments.com/willows-court-apartment-homes-seattle-wa/0j92tn0/,88,58,67,71
